unit_number,unit_price,total_price,win,discount_rate,unit_margin,unit_sold_number,total_margin
10 ,19653 ,196526 ,0 ,0.21388 ,4653 ,0 ,0 
11 ,22121 ,243326 ,0 ,0.11516 ,7121 ,0 ,0 
13 ,15176 ,197290 ,1 ,0.39296 ,176 ,13 ,2288 
11 ,16688 ,183566 ,1 ,0.33248 ,1688 ,11 ,18568 
10 ,20410 ,204097 ,1 ,0.18360 ,5410 ,10 ,54100 
14 ,18906 ,264679 ,0 ,0.24376 ,3906 ,0 ,0 
18 ,17699 ,318580 ,1 ,0.29204 ,2699 ,18 ,48582 
20 ,16304 ,326071 ,0 ,0.34784 ,1304 ,0 ,0 
20 ,15532 ,310635 ,1 ,0.37872 ,532 ,20 ,10640 
29 ,21520 ,624079 ,0 ,0.13920 ,6520 ,0 ,0 
36 ,16794 ,604582 ,1 ,0.32824 ,1794 ,36 ,64584 
11 ,15816 ,173978 ,1 ,0.36736 ,816 ,11 ,8976 
15 ,21883 ,328247 ,0 ,0.12468 ,6883 ,0 ,0 
15 ,22244 ,333654 ,0 ,0.11024 ,7244 ,0 ,0 
15 ,20093 ,301402 ,0 ,0.19628 ,5093 ,0 ,0 
15 ,16420 ,246296 ,1 ,0.34320 ,1420 ,15 ,21300 
10 ,21534 ,215341 ,0 ,0.13864 ,6534 ,0 ,0 
18 ,22198 ,399564 ,0 ,0.11208 ,7198 ,0 ,0 
18 ,22036 ,396645 ,0 ,0.11856 ,7036 ,0 ,0 
11 ,20063 ,220689 ,1 ,0.19748 ,5063 ,11 ,55693 
22 ,16480 ,362558 ,1 ,0.34080 ,1480 ,22 ,32560 
10 ,15638 ,156381 ,0 ,0.37448 ,638 ,0 ,0 
18 ,21140 ,380512 ,0 ,0.15440 ,6140 ,0 ,0 
14 ,19801 ,277211 ,0 ,0.20796 ,4801 ,0 ,0 
14 ,20870 ,292175 ,0 ,0.16520 ,5870 ,0 ,0 
33 ,18787 ,619957 ,1 ,0.24852 ,3787 ,33 ,124971 
23 ,15452 ,355403 ,1 ,0.38192 ,452 ,23 ,10396 
20 ,16401 ,328011 ,1 ,0.34396 ,1401 ,20 ,28020 
12 ,17492 ,209903 ,1 ,0.30032 ,2492 ,12 ,29904 
15 ,19054 ,285807 ,0 ,0.23784 ,4054 ,0 ,0 
17 ,17358 ,295079 ,1 ,0.30568 ,2358 ,17 ,40086 
17 ,16992 ,288865 ,0 ,0.32032 ,1992 ,0 ,0 
25 ,15267 ,381687 ,1 ,0.38932 ,267 ,25 ,6675 
11 ,21425 ,235680 ,0 ,0.14300 ,6425 ,0 ,0 
20 ,16238 ,324758 ,1 ,0.35048 ,1238 ,20 ,24760 
12 ,18980 ,227762 ,1 ,0.24080 ,3980 ,12 ,47760 
37 ,18834 ,696841 ,0 ,0.24664 ,3834 ,0 ,0 
15 ,16652 ,249778 ,1 ,0.33392 ,1652 ,15 ,24780 
16 ,15231 ,243695 ,1 ,0.39076 ,231 ,16 ,3696 
12 ,15577 ,186919 ,1 ,0.37692 ,577 ,12 ,6924 
20 ,21609 ,432181 ,0 ,0.13564 ,6609 ,0 ,0 
21 ,15416 ,323746 ,1 ,0.38336 ,416 ,21 ,8736 
14 ,17617 ,246636 ,0 ,0.29532 ,2617 ,0 ,0 
34 ,19103 ,649503 ,0 ,0.23588 ,4103 ,0 ,0 
10 ,19277 ,192767 ,0 ,0.22892 ,4277 ,0 ,0 
18 ,19159 ,344861 ,0 ,0.23364 ,4159 ,0 ,0 
21 ,16426 ,344953 ,0 ,0.34296 ,1426 ,0 ,0 
14 ,16874 ,236241 ,1 ,0.32504 ,1874 ,14 ,26236 
16 ,20428 ,326844 ,0 ,0.18288 ,5428 ,0 ,0 
22 ,17886 ,393496 ,0 ,0.28456 ,2886 ,0 ,0 
17 ,21915 ,372552 ,0 ,0.12340 ,6915 ,0 ,0 
24 ,22134 ,531216 ,0 ,0.11464 ,7134 ,0 ,0 
16 ,18415 ,294632 ,1 ,0.26340 ,3415 ,16 ,54640 
14 ,16336 ,228702 ,1 ,0.34656 ,1336 ,14 ,18704 
32 ,17169 ,549405 ,1 ,0.31324 ,2169 ,32 ,69408 
22 ,18806 ,413742 ,0 ,0.24776 ,3806 ,0 ,0 
21 ,16544 ,347434 ,1 ,0.33824 ,1544 ,21 ,32424 
14 ,16022 ,224311 ,1 ,0.35912 ,1022 ,14 ,14308 
10 ,15629 ,156293 ,1 ,0.37484 ,629 ,10 ,6290 
20 ,16507 ,330139 ,1 ,0.33972 ,1507 ,20 ,30140 
17 ,15630 ,265715 ,1 ,0.37480 ,630 ,17 ,10710 
11 ,21450 ,235951 ,0 ,0.14200 ,6450 ,0 ,0 
30 ,19600 ,588002 ,0 ,0.21600 ,4600 ,0 ,0 
14 ,18595 ,260332 ,0 ,0.25620 ,3595 ,0 ,0 
18 ,17861 ,321491 ,0 ,0.28556 ,2861 ,0 ,0 
12 ,17816 ,213797 ,1 ,0.28736 ,2816 ,12 ,33792 
25 ,19948 ,498696 ,0 ,0.20208 ,4948 ,0 ,0 
24 ,20872 ,500935 ,0 ,0.16512 ,5872 ,0 ,0 
13 ,20242 ,263142 ,0 ,0.19032 ,5242 ,0 ,0 
15 ,16868 ,253018 ,1 ,0.32528 ,1868 ,15 ,28020 
18 ,17527 ,315491 ,1 ,0.29892 ,2527 ,18 ,45486 
15 ,18715 ,280731 ,0 ,0.25140 ,3715 ,0 ,0 
24 ,18152 ,435649 ,0 ,0.27392 ,3152 ,0 ,0 
16 ,20164 ,322626 ,1 ,0.19344 ,5164 ,16 ,82624 
19 ,19288 ,366471 ,1 ,0.22848 ,4288 ,19 ,81472 
21 ,20744 ,435631 ,0 ,0.17024 ,5744 ,0 ,0 
38 ,21377 ,812335 ,0 ,0.14492 ,6377 ,0 ,0 
10 ,19383 ,193829 ,1 ,0.22468 ,4383 ,10 ,43830 
10 ,22475 ,224752 ,0 ,0.10100 ,7475 ,0 ,0 
21 ,22129 ,464717 ,1 ,0.11484 ,7129 ,21 ,149709 
15 ,21913 ,328690 ,0 ,0.12348 ,6913 ,0 ,0 
20 ,18193 ,363862 ,1 ,0.27228 ,3193 ,20 ,63860 
14 ,18331 ,256637 ,1 ,0.26676 ,3331 ,14 ,46634 
17 ,20471 ,348005 ,0 ,0.18116 ,5471 ,0 ,0 
12 ,17715 ,212585 ,1 ,0.29140 ,2715 ,12 ,32580 
23 ,22480 ,517037 ,0 ,0.10080 ,7480 ,0 ,0 
21 ,19426 ,407936 ,0 ,0.22296 ,4426 ,0 ,0 
17 ,18355 ,312038 ,1 ,0.26580 ,3355 ,17 ,57035 
11 ,21130 ,232426 ,0 ,0.15480 ,6130 ,0 ,0 
37 ,20245 ,749076 ,0 ,0.19020 ,5245 ,0 ,0 
43 ,16713 ,718673 ,1 ,0.33148 ,1713 ,43 ,73659 
24 ,19133 ,459196 ,1 ,0.23468 ,4133 ,24 ,99192 
31 ,19373 ,600562 ,0 ,0.22508 ,4373 ,0 ,0 
18 ,19340 ,348125 ,0 ,0.22640 ,4340 ,0 ,0 
12 ,16528 ,198341 ,1 ,0.33888 ,1528 ,12 ,18336 
21 ,16793 ,352655 ,1 ,0.32828 ,1793 ,21 ,37653 
27 ,19799 ,534572 ,0 ,0.20804 ,4799 ,0 ,0 
10 ,19980 ,199802 ,0 ,0.20080 ,4980 ,0 ,0 
18 ,19300 ,347396 ,0 ,0.22800 ,4300 ,0 ,0 
15 ,18289 ,274328 ,1 ,0.26844 ,3289 ,15 ,49335 
21 ,17912 ,376162 ,0 ,0.28352 ,2912 ,0 ,0 
42 ,16860 ,708134 ,1 ,0.32560 ,1860 ,42 ,78120 
13 ,17145 ,222886 ,0 ,0.31420 ,2145 ,0 ,0 
20 ,17475 ,349491 ,1 ,0.30100 ,2475 ,20 ,49500 
15 ,21176 ,317647 ,0 ,0.15296 ,6176 ,0 ,0 
15 ,15418 ,231275 ,1 ,0.38328 ,418 ,15 ,6270 
16 ,15550 ,248802 ,1 ,0.37800 ,550 ,16 ,8800 
22 ,17441 ,383692 ,0 ,0.30236 ,2441 ,0 ,0 
35 ,16017 ,560597 ,1 ,0.35932 ,1017 ,35 ,35595 
31 ,15475 ,479735 ,0 ,0.38100 ,475 ,0 ,0 
13 ,16465 ,214040 ,1 ,0.34140 ,1465 ,13 ,19045 
25 ,18096 ,452402 ,1 ,0.27616 ,3096 ,25 ,77400 
18 ,20727 ,373089 ,0 ,0.17092 ,5727 ,0 ,0 
14 ,17750 ,248505 ,1 ,0.29000 ,2750 ,14 ,38500 
10 ,21816 ,218158 ,0 ,0.12736 ,6816 ,0 ,0 
18 ,18117 ,326108 ,1 ,0.27532 ,3117 ,18 ,56106 
22 ,16163 ,355585 ,1 ,0.35348 ,1163 ,22 ,25586 
13 ,15048 ,195628 ,1 ,0.39808 ,48 ,13 ,624 
19 ,15412 ,292830 ,1 ,0.38352 ,412 ,19 ,7828 
21 ,16254 ,341336 ,0 ,0.34984 ,1254 ,0 ,0 
14 ,20149 ,282083 ,0 ,0.19404 ,5149 ,0 ,0 
12 ,15304 ,183645 ,1 ,0.38784 ,304 ,12 ,3648 
14 ,19625 ,274749 ,0 ,0.21500 ,4625 ,0 ,0 
14 ,17482 ,244753 ,1 ,0.30072 ,2482 ,14 ,34748 
15 ,16949 ,254231 ,0 ,0.32204 ,1949 ,0 ,0 
34 ,18400 ,625613 ,0 ,0.26400 ,3400 ,0 ,0 
34 ,21189 ,720428 ,0 ,0.15244 ,6189 ,0 ,0 
27 ,18639 ,503261 ,0 ,0.25444 ,3639 ,0 ,0 
11 ,21330 ,234625 ,0 ,0.14680 ,6330 ,0 ,0 
21 ,21079 ,442656 ,0 ,0.15684 ,6079 ,0 ,0 
23 ,19834 ,456190 ,0 ,0.20664 ,4834 ,0 ,0 
12 ,18068 ,216820 ,0 ,0.27728 ,3068 ,0 ,0 
21 ,17273 ,362731 ,1 ,0.30908 ,2273 ,21 ,47733 
17 ,21381 ,363483 ,0 ,0.14476 ,6381 ,0 ,0 
19 ,19789 ,375984 ,0 ,0.20844 ,4789 ,0 ,0 
21 ,21104 ,443185 ,0 ,0.15584 ,6104 ,0 ,0 
16 ,15529 ,248459 ,1 ,0.37884 ,529 ,16 ,8464 
